,0,1
0,dollar,formula
1,pound,quote
2,accident,ability
3,accountant,absence
4,acre,abuse
5,actor,acceptance
6,adam,access
7,adult,accommodation
8,adviser,account
9,affair,accuracy
10,africa,achievement
11,afternoon,acid
12,agent,acquisition
13,aircraft,action
14,airline,activity
15,airport,addition
16,alarm,address
17,album,administration
18,alice,admission
19,ally,adoption
20,ambassador,advance
21,america,advantage
22,american,advertisement
23,analyst,advertising
24,angel,advice
25,ankle,agency
26,anna,agenda
27,anne,agreement
28,anniversary,alcohol
29,apartment,allegation
30,appearance,alliance
31,apple,allocation
32,appointment,allowance
33,april,alternative
34,architect,ambition
35,area,amendment
36,army,amount
37,arrest,analysis
38,arrival,anger
39,arrow,angle
40,artist,animal
41,assembly,announcement
42,assistant,answer
43,association,anxiety
44,athelstan,appeal
45,attack,applicant
46,attraction,application
47,auditor,approach
48,australia,approval
49,author,architecture
50,autumn,argument
51,award,arrangement
52,baby,array
53,back,article
54,baker,aspect
55,ball,assault
56,band,assessment
57,bank,asset
58,barrel,assistance
59,base,assumption
60,basket,atmosphere
61,bath,attempt
62,bathroom,attention
63,battery,attitude
64,battle,audience
65,beach,authority
66,beauty,availability
67,bedroom,average
68,beer,awareness
69,beginning,background
70,being,bacterium
71,bell,balance
72,belt,barrier
73,bench,basis
74,benjamin,beam
75,best,behaviour
76,bible,belief
77,bike,benefit
78,bill,bias
79,bird,blanket
80,birth,block
81,birthday,body
82,bishop,brain
83,black,breach
84,blade,budget
85,blanche,bulk
86,blood,burden
87,blow,business
88,board,buyer
89,boat,calculation
90,bomb,call
91,bond,campaign
92,bone,capability
93,book,capacity
94,boom,care
95,boot,case
96,border,category
97,boss,cause
98,bottle,caution
99,bottom,cell
100,boundary,certificate
101,bowl,challenge
102,branch,chance
103,brand,change
104,bread,chaos
105,break,characteristic
106,breakfast,charge
107,breast,charter
108,breath,check
109,breeze,chemical
110,brick,cheque
111,bridge,choice
112,britain,circumstance
113,brother,claim
114,brow,clause
115,brown,client
116,brush,climate
117,bucket,closure
118,building,cluster
119,bull,co-operation
120,bullet,coalition
121,bush,code
122,button,collapse
