,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
0,dollar,formula,pound,quote,ability,absence,abuse,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,acre,action,actor,adam,addition,address,administration,admission,adult,advance,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agreement,aircraft,airline,alarm,album,alcohol,alice,allegation,allowance,ally,alternative,ambassador,ambition,amendment,american,amount,analysis,angel,anger,angle,animal,ankle,anne,anniversary,announcement,anxiety,apartment,appeal,appearance,apple,appointment,approval,april,architect,architecture,area,army,array,arrest,arrow,aspect,assault,assembly,asset,association,assumption,athelstan,atmosphere,attitude,attraction,audience,author,autumn,average,award,awareness,baby,back,background,bacterium,baker,balance,ball,barrel,barrier,basis,bath,battery,beach,beauty,beginning,being,belt,bench,benjamin,best,bill,bird,birth,bishop,black,blanket,block,blood,blow,boat,body,bomb,book,boom,boot,border,bottom,bowl,branch,brand,breach,bread,break,breakfast,breast,breath,breeze,brick,brother,brow,brush,budget,bulk,bull,burden,bush,business,button,buyer,cable,calculation,call,camp,campaign,candidate,capacity,capital,captain,care,career,cast,castle,catalogue,cattle,ceremony,certificate,chain,chair,chamber,change,chaos,charge,charity,charter,check,china,chip,citizen,city,class,client,cliff,climate,clinic,cloud,coach,coal,coalition,coast,coat,code,colour,column,combination,comment,company,completion,complexity,concept,concern,conduct,conflict,congress,conservative,consideration,consumer,corner,corridor,count,course,coverage,crack,crash,cream,creature,crisis,crop,crown,culture,current,cycle,damage,danger,date,decision,defence,delivery,demonstration,depth,development,dimension,direction,dose,draft,drama,drawing,driver,earnings,earth,east,edition,effect,electricity,emphasis,employee,england,enterprise,estate,expression,fence,filter,final,finding,flat,flood,flow,fragment,france,germany,ghost,glance,goal,gold,government,grade,group,guitar,half,handful,holder,honour,host,hundred,image,importance,incidence,insurance,journal,journey,landing,language,leader,let,literature,living,manner,mass,mechanism,meeting,movement,mystery,nature,note,peak,people,pillow,scent,while,world
1,coin,compound,pound,bible,commitment,acceptance,discrimination,communication,carriage,building,article,auditor,availability,attention,chemical,adoption,cottage,activity,artist,david,comparison,answer,authority,applicant,female,battle,attempt,advertising,assistance,agent,conversation,america,evening,board,belief,alliance,bike,airport,clock,band,drug,anna,argument,cash,boss,approach,assistant,dream,clause,english,excess,context,heaven,crowd,beam,human,bullet,blanche,birthday,arrival,cause,bathroom,contempt,concert,beer,invitation,consent,february,commentator,design,countryside,force,range,crime,blade,characteristic,attack,constituency,bank,centre,circumstance,duke,curiosity,bias,base,reader,developer,fall,estimate,champion,confidence,girl,left,ideal,entity,bell,capability,basket,bottle,bridge,doubt,leeds,candle,palm,comfort,start,hold,circle,circuit,charles,choice,charlie,fish,child,cathedral,clothes,carpet,caution,bone,kick,carrier,coffin,explosion,chapter,closure,device,boundary,edge,challenge,line,competitor,consequence,cake,draw,dinner,cancer,grin,tide,ceiling,father,cheek,flower,consumption,remainder,horse,currency,clinton,firm,camera,creditor,channel,counter,letter,concentration,expedition,poll,handle,colony,command,condition,club,character,garden,collection,rabbit,festival,curriculum,hotel,degree,composition,difference,darkness,control,finance,concession,link,india,customer,figure,community,cluster,computer,green,weather,headquarters,dust,division,mine,faction,gulf,cross,database,flesh,mirror,form,joke,corp,creation,constraint,conception,difficulty,interest,confusion,delegate,democrat,enquiry,diet,road,route,,field,headline,drop,flight,,monster,disaster,export,king,myth,future,generation,damages,extent,decade,discretion,guard,distribution,race,distance,environment,,forward,exposure,episode,film,exhibition,phone,employment,horizon,middle,version,impact,energy,focus,farmer,ireland,open,grounds,gesture,fibre,noise,opening,reading,ground,lake,heat,gene,paris,gorbachev,secret,paragraph,penalty,medal,hitler,lesson,organisation,horn,hour,number,landlord,statue,programme,million,motion,index,inequality,liability,review,return,launch,meaning,leadership,need,poem,,mood,momentum,practice,session,struggle,novel,prayer,notice,summit,person,shelter,smell,whilst,
2,dollar,formula,tonne,content,contribution,conversion,terror,contact,garage,complex,category,clerk,level,merit,envelope,allocation,family,behaviour,dancer,luke,connection,desk,jurisdiction,defendant,male,clash,chance,example,benefit,analyst,friendship,australia,holiday,commission,consciousness,arrangement,engine,passenger,delay,chart,substance,diana,case,cheque,colleague,experiment,cabinet,fortune,constitution,french,fraction,definition,hell,disappointment,emission,,chest,caroline,century,death,defect,bedroom,conviction,lifetime,champagne,petition,permission,june,critic,fashion,region,personnel,scope,gang,fist,component,enemy,convention,bond,college,conclusion,earl,delight,habit,location,viewer,editor,spring,statistics,prize,discipline,stranger,right,matter,inhabitant,brown,ease,grip,bucket,canal,evidence,liverpool,cigarette,,freedom,stop,holding,ring,court,edward,option,jack,nest,couple,chapel,collar,cloth,consensus,brain,punch,craft,corpse,missile,diary,collapse,disc,,front,championship,post,dealer,favour,dish,move,lunch,disease,kiss,,curtain,husband,chin,forest,cost,rest,rider,debt,thatcher,investor,card,employer,network,datum,message,refugee,invasion,proposition,load,empire,commander,patient,defender,feature,gate,collector,sheep,,education,restaurant,doctor,dance,distinction,dawn,duty,foundation,contract,links,japan,product,gentleman,country,kind,custom,hill,,hospital,rain,league,,minority,island,flag,document,hair,observer,mixture,mistake,corporation,discovery,criterion,evolution,dilemma,involvement,controversy,delegation,kinnock,inquiry,equipment,square,trail,,,insider,switch,helicopter,,,economy,import,prince,ritual,past,period,fire,intention,month,faith,intelligence,inspection,rally,height,expansion,,path,sensitivity,season,horror,landscape,taxi,income,moon,north,volume,influence,fuel,,miner,scotland,resource,land,gift,metal,pollution,second,thinking,pavement,mouth,pressure,scene,rome,israel,,section,score,,regime,master,organization,instrument,inch,total,owner,temple,reality,thousand,photograph,quantity,inflation,pension,,trip,,means,member,will,poetry,,pitch,pace,procedure,,union,plot,soul,register,,subject,tent,taste,,
3,penny,,,contents,courage,failure,violence,dialogue,lorry,construction,discussion,councillor,quality,promotion,molecule,application,farm,exercise,designer,mark,contrast,question,,examination,,defeat,glimpse,instance,co-operation,consultant,interview,britain,morning,committee,democracy,compromise,ford,rail,frequency,label,,emily,claim,compensation,companion,method,chairman,motive,declaration,german,majority,description,,embarrassment,impulse,,elbow,elizabeth,occasion,departure,depression,cupboard,offence,performance,coffee,proposal,privilege,march,historian,style,zone,reserve,spectrum,killer,knife,element,raid,election,credit,department,contradiction,emperor,emotion,shift,place,,magazine,summer,survey,trophy,experience,teenager,,observation,insect,clarke,effectiveness,heel,container,entrance,hint,london,flame,,glory,,,,judge,eliot,preference,tony,prey,cousin,christ,dress,fabric,injunction,cell,roll,crew,fate,,essay,decline,disk,,margin,competition,,factory,outcome,grain,pass,meal,heart,laugh,,deck,mother,eyebrow,grass,deficit,whole,,money,washington,profession,display,purchase,radio,gain,signature,,occupation,referendum,output,independence,constable,questionnaire,football,personality,hall,cover,,,health,shop,history,music,variation,depths,priority,fund,lease,look,kong,vendor,hero,county,medium,interface,lane,,nurse,snow,player,,opponent,ocean,seal,domain,nail,star,other,remark,subsidiary,establishment,curve,hypothesis,error,membership,criticism,embassy,labour,investigation,food,street,,,,media,turn,operator,,,recession,industry,princess,tradition,prospects,phase,harm,necessity,time,hearing,joint,mail,,length,growth,,,sunlight,wicket,movie,paint,,price,planet,south,,scale,power,,peasant,wales,,ownership,sign,needle,smoke,,thought,sand,river,strain,sequence,,moscow,,sentence,,,revolution,practitioner,,lead,metre,,shareholder,,show,,picture,share,population,,,visit,,name,organiser,wish,verse,,tone,,process,,,story,spirit,,,thing,trap,,,
4,,,,copy,desire,lack,,identification,truck,facility,entry,lawyer,rating,recognition,protein,assessment,home,,photographer,martin,equivalent,reply,,individual,,fight,incentive,,consultation,director,relationship,continent,night,council,discourse,deal,gear,traffic,input,recording,,helen,complaint,dividend,fellow,objective,chancellor,passion,decree,,percentage,explanation,,fear,intensity,,finger,isabel,,replacement,disorder,door,prosecution,presentation,drink,recommendation,,,journalist,,,staff,variety,killing,knight,factor,strike,parliament,deposit,institute,expectation,lord,enthusiasm,tendency,point,,print,winter,,winner,expertise,thief,,perception,organism,cook,efficiency,hook,heap,lock,plenty,oxford,lamp,,happiness,,,,jury,francis,selection,willie,,daughter,christian,jacket,garment,punishment,layer,shot,fleet,grave,,guide,destruction,drive,,shelf,conference,,furniture,part,lamb,ride,,illness,sigh,,doorway,parent,face,leaf,demand,,,profit,,venture,menu,purchaser,,increase,talk,,operation,vote,speed,kingdom,detective,treatment,play,role,house,gallery,,,instruction,store,lecture,record,,mist,purpose,trust,licence,search,republic,,policeman,district,pattern,module,mountain,,prison,storm,squad,,opposition,shore,symbol,file,patch,,pair,statement,,existence,equation,idea,fault,participant,debate,,tory,proceedings,goods,terrace,,,,news,,pilot,,,shortage,market,queen,,,step,injury,possibility,week,judgement,safety,service,,lifespan,improvement,,,,,series,painting,,salary,space,west,,,supply,,worker,,,property,speech,pipe,sound,,,soil,stream,stress,,,russia,,,,,rule,pupil,,organ,mile,,tenant,,,,poster,significance,poverty,,,visitor,,origin,speaker,,writing,,voice,,routine,,,tale,,,,,,,,
5,,,,detail,determination,presence,,interaction,,housing,guideline,manager,resolution,status,reaction,compliance,mill,,producer,michael,order,response,,offender,,fighting,moment,,guidance,engineer,,europe,schedule,tribunal,doctrine,negotiation,motor,train,packet,release,,jane,objection,offer,friend,plan,chief,popularity,directive,,portion,interpretation,,frustration,light,,foot,marie,,resignation,pain,downstairs,suspicion,profile,flavour,request,,,poet,,,unit,,murder,spell,ingredient,,seat,exchange,institution,fact,pope,excitement,trend,position,,publication,,,,information,woman,,reflection,species,corbett,isolation,knot,hole,railway,proof,york,,,hope,,,,justice,george,,,,marriage,church,shirt,paper,remedy,limb,trick,ship,,,leaflet,rise,memory,,side,contest,,machine,result,meat,stand,,infection,smile,,floor,rival,forehead,plant,expenditure,,,,,,mouse,sale,,limit,user,,troops,voter,weight,nation,inspector,,professional,theme,palace,library,,,public,,medicine,rock,,shadow,responsibility,,monopoly,watch,,,prisoner,port,sort,package,park,,,wind,team,,party,,,format,shell,,,thread,,formation,function,logic,issue,participation,dispute,,,report,household,,,,,newspaper,,plane,,,situation,production,,,,transition,loss,potential,year,judgment,security,transfer,,size,innovation,,,,,television,portrait,,wages,universe,,,,water,,,,,rights,,plate,,,,stone,valley,temperature,,,russian,,,,,,student,,rhythm,minute,,,,,,,value,rate,,,,,phrase,supporter,,,,,,system,,,tragedy,,,,,,,,
6,,,,material,effort,refusal,,technology,,structure,list,resident,,,strand,core,,,,nigel,reference,thanks,,plaintiff,,triumph,opportunity,,help,expert,,iraq,weekend,,hierarchy,partnership,tank,transport,receiver,song,,kate,rumour,payment,lover,scheme,commissioner,reputation,legislation,,proportion,outline,,guilt,particle,,glove,mary,,retirement,symptom,kitchen,trial,reception,fruit,suggestion,,,politician,,,volunteer,,suicide,sword,item,,,investment,laboratory,implication,,feeling,,present,,publisher,,,,insight,,,representation,virus,graham,maintenance,ladder,pack,station,trace,,,,instinct,,,,magistrate,harry,,,,wife,jesus,skirt,shoe,restriction,muscle,,vessel,,,papers,,mode,,slope,event,,machinery,succession,milk,stretch,,stroke,touch,,frame,sister,gaze,tree,expense,,,,,,panel,seller,,maximum,warning,,,,,state,major,,sport,,theatre,museum,,,school,,philosophy,tune,,silence,task,,possession,,,,servant,province,standard,platform,pond,,,,,,protest,,,,skin,,,,,introduction,interval,model,mess,,incident,,,,supplies,,,,,press,,,,,,trade,,,,,,reason,,opinion,,,,,management,,,,,,work,,,,,,,,,,,,stake,,sheet,,,,surface,waters,tension,,,,,,,,,teacher,,string,quarter,,,,,,,worth,unemployment,,,,,root,,,,,,,,,,,,,,,,,,
7,,,,script,loyalty,rejection,,telephone,,tower,page,solicitor,,,,evaluation,,,,patrick,relation,,,,,victory,,,intervention,guest,,italy,,,identity,peace,vehicle,,signal,studio,,lady,,premium,neighbour,solution,deputy,success,passage,,sample,perspective,,hostility,pulse,,hand,,,withdrawal,weakness,room,verdict,,juice,,,,scholar,,,,,victim,torch,object,,,loan,society,impression,,imagination,,remains,,,,,,knowledge,,,shape,,grant,stability,lift,pile,tunnel,,,,,life,,,,,henry,,,,,mission,suit,towel,sanction,nerve,,yard,,,strip,,processor,,,game,,maker,,pint,walk,,surgery,,,glass,,mask,wood,revenue,,,,,,screen,,,measure,,,,,,territory,officer,,youngster,,villa,piece,,,teaching,,politics,,,,,,,,,,soldier,settlement,type,protocol,prospect,,,,,,rebel,,,,stomach,,,,,merger,limitation,notion,obstacle,,publicity,,,,waste,,,,,reporter,,,,,,trading,,,,,,risk,,,,,,,planning,,,,,,workshop,,,,,,,,,,,,,,tube,,,,,,,,,,,,,,,,,,seconds,,,,,,,,,,,,,term,,,,,,,,,,,,,,,,,,
8,,,,text,obligation,removal,,,,,stuff,,,,,extension,,,,paul,relative,,,,,,,,protection,researcher,,spain,,,ideology,treaty,,,,track,,laura,,receipt,partner,strategy,executive,talent,policy,,,validity,,panic,wave,,knee,,,,,sofa,,,salt,,,,scientist,,,,,witness,weapon,source,,,mortgage,university,sense,,laughter,,site,,,,,,skill,,,sight,,howard,strength,pole,pocket,,,,,,love,,,,,james,,,,,priest,trousers,,warrant,stem,,,,,,,tape,,,match,,manufacturer,,potato,,,,,,interior,,nose,,sector,,,,,,stage,,,measurement,,,,,,,police,,youth,,,specimen,,,training,,science,,,,,,,,,,,tourist,,software,ridge,,,,,,resistance,,,,sweat,,,,,setting,norm,phenomenon,problem,,scandal,,,,,,,,,times,,,,,,,,,,,,threat,,,,,,,progress,,,,,,,,,,,,,,,,,,,,wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,
9,,,,,promise,separation,,,,,topic,,,,,framework,,,,peter,,,,,,,,,relief,specialist,,spread,,,marx,,,,,,,lily,,rent,,tactic,governor,wealth,provision,,,view,,pride,,,neck,,,,,window,,,seed,,,,traveller,,,,,,,,,,portfolio,,virtue,,sensation,,spot,,,,,,understanding,,,sphere,,hunt,survival,rope,pool,,,,,,mind,,,,,john,,,,,,uniform,,,tissue,,,,,,,,,,qualification,,supplier,,recipe,,,,,,roof,,tail,,spending,,,,,,,,,minimum,,,,,,,rank,,,,,,,,welfare,,study,,,,,,,,,,,town,,tool,,,,,,,,,,,tooth,,,,,,parameter,premise,trouble,,speculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,respect,,,,,,,,,,,implementation,,,,simon,,,,,,,,,support,,,,,,religion,,,,,,,lucy,,reward,,technique,head,,reform,,,,,rage,,,shoulder,,,,,,,,sugar,,,,writer,,,,,,,,,,savings,,,,shock,,target,,,,,,,,,vision,,jackson,,shaft,slide,,,,,,pleasure,,,,,joseph,,,,,,white,,,vein,,,,,,,,,,round,,,,slice,,,,,,stair,,throat,,surplus,,,,,,,,,ratio,,,,,,,sergeant,,,,,,,,,,thesis,,,,,,,,,,,village,,video,,,,,,,,,,,,,,,,,requirement,principle,,,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,willingness,,,,,,,,,,,initiative,,,,stephen,,,,,,,,,,,,,,,stance,,,,,,,maggie,,subsidy,,,minister,,regulation,,,,,surprise,,,sleeve,,,,,,,,wine,,,,,,,,,,,,,,stock,,,,warmth,,,,,,,,,,,,,johnson,,stitch,stick,,,,,,pursuit,,,,,philip,,,,,,,,,,,,,,,,,,,title,,,,,,,,,,tile,,tongue,,turnover,,,,,,,,,reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variable,theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,integration,,,,,,,,,,,,,,,,,,,unity,,,,,,,rachel,,ticket,,,ministry,,statute,,,,,sympathy,,,spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jones,,,table,,,,,,satisfaction,,,,,richard,,,,,,,,,,,,,,,,,,,tour,,,,,,,,,,wall,,,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,preparation,,,,,,,,,,,,,,,,,,,,,,,,,,robyn,,transaction,,,office,,,,,,,,,,tear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kelly,,,tray,,,,,,self,,,,,robert,,,,,,,,,,,,,,,,,,,tournament,,,,,,,,,,wing,,,,,,,,,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,program,,,,,,,,,,,,,,,,,,,,,,,,,,rose,,,,,official,,,,,,,,,,thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lewis,,,wheel,,,,,,senses,,,,,thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,project,,,,,,,,,,,,,,,,,,,,,,,,,,ruth,,,,,president,,,,,,,,,,thumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,miller,,,,,,,,,sleep,,,,,william,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,specification,,,,,,,,,,,,,,,,,,,,,,,,,,sarah,,,,,prime,,,,,,,,,,waist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morgan,,,,,,,,,truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,susan,,,,,representative,,,,,,,,,,wound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mungo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secretary,,,,,,,,,,wrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spokesman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,successor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
